ID,Name,Category,Description,OpeningTime,Website,PhoneNumber,Location,Address,Toilet,Accessibility,Animals,Image,Icon,VisitTime,Map Priority
1,Poetto,Beaches,"Vibrant beach area popular for swimming & sunbathing, plus nearby restaurants, dance clubs & bars.","{'Monday': 'Open 24 hours', 'Tuesday': 'Open 24 hours', 'Wednesday': 'Open 24 hours', 'Thursday': 'Open 24 hours', 'Friday': 'Open 24 hours', 'Saturday': 'Open 24 hours', 'Sunday': 'Open 24 hours'}",-,-,"39.218529438890016, 9.177302395841759",Spiaggia del Poetto,TRUE,FALSE,TRUE,Poetto.jpg,beach.png,180,3
2,Bastion Saint Remy,Historical Sites and Monuments,"Landmark structure with a limestone arch & pillars, plus a terrace & promenade for cultural events.","{'Monday': 'Open 24 hours', 'Tuesday': 'Open 24 hours', 'Wednesday': 'Open 24 hours', 'Thursday': 'Open 24 hours', 'Friday': 'Open 24 hours', 'Saturday': 'Open 24 hours', 'Sunday': 'Open 24 hours'}",-,390706771,"39.21618569430492, 9.11697587806603","Piazza Costituzione, 09121 Cagliari CA",FALSE,FALSE,TRUE,Bastion Saint Remy.jpg,bastion.png,30,3
3,Museo archeologico nazionale,Museums and Art Galleries,"Museum exploring Sardinia's ancient history via archaeological exhibits, including Punic jewelry.","{'Monday': '8:45AM-7:45PM', 'Tuesday': 'Closed', 'Wednesday': '8:45AM-7:45PM', 'Thursday': '8:45AM-7:45PM', 'Friday': '8:45AM-7:45PM', 'Saturday': '8:45AM-7:45PM', 'Sunday': '8:45AM-7:45PM'}",https://museoarcheocagliari.beniculturali.it/,39070655911,"39.31508580804618, 9.151942649786545","Piazza Arsenale, 1, 09124 Cagliari CA",TRUE,TRUE,FALSE,Museo archeologico nazionale.jpg,museum_0.png,90,3
4,Santuario di Nostra Signora di Bonaria,Churches and Places of Worship,"Part of a 14th-century complex, this sanctuary holds a revered, storied statue of the Virgin Mary.","{'Monday': '7-11:30AM 4:30-7PM', 'Tuesday': '7-11:30AM 4:30-7PM', 'Wednesday': '7-11:30AM 4:30-7PM', 'Thursday': '7-11:30AM 4:30-7PM', 'Friday': '7-11:30AM 4:30-7PM', 'Saturday': '7AM-12PM 4:30-8PM', 'Sunday': '7:30AM-12:30PM 4:30-8PM'}",http://www.bonaria.eu/,39070301747,"39.2086821313617, 9.127150238295808","Piazza Bonaria, 2, 09125 Cagliari CA",FALSE,TRUE,FALSE,Santuario di Nostra Signora di Bonaria.jpg,cathedral.png,60,3
5,Parco di Monte Urpinu,Parks and Gardens,"Large public park on hilltop, with tree-lined avenues & kids' playground, plus panoramic views.","{'Monday': '6:30AM-10PM', 'Tuesday': '6:30AM-10PM', 'Wednesday': '6:30AM-10PM', 'Thursday': '6:30AM-10PM', 'Friday': '6:30AM-10PM', 'Saturday': '6:30AM-10PM', 'Sunday': '6:30AM-10PM'}",https://www.comune.cagliari.it/portale/page/it/parco_di_monte_urpinu?contentId=LGO12343,390706771,"39.21675668639543, 9.13597276954877","Viale Europa, 09129 Cagliari CA",TRUE,TRUE,TRUE,Parco di Monte Urpinu.jpg,park.png,60,3
6,Parco Naturale Molentargius Saline,Parks and Gardens,"Ample urban wetland with fresh & saltwater ponds, diverse bird species, paths & bike rentals.","{'Monday': '9AM-8PM', 'Tuesday': '9AM-8PM', 'Wednesday': '9AM-8PM', 'Thursday': '9AM-8PM', 'Friday': '9AM-8PM', 'Saturday': '9AM-8:30PM', 'Sunday': '9AM-8:30PM'}",http://parcomolentargius.it/,39070379191,"39.20590662691224, 9.14770819283453","Via la Palma, 9a, 09126 Cagliari CA",TRUE,TRUE,TRUE,Parco Naturale Molentargius Saline.jpg,pond.png,60,3
7,Sella del diavolo,Scenic Spots,"Saddle-shaped promontory offering scenic hilltop views of the sea, with trails to the summit.","{'Monday': 'Open 24 hours', 'Tuesday': 'Open 24 hours', 'Wednesday': 'Open 24 hours', 'Thursday': 'Open 24 hours', 'Friday': 'Open 24 hours', 'Saturday': 'Open 24 hours', 'Sunday': 'Open 24 hours'}",-,-,"39.188744973196684, 9.168021013857214","Viale Calamosca, 50, 09126 Cagliari CA",FALSE,FALSE,FALSE,Sella del diavolo.jpg,panorama.png,180,3
8,Orto Botanico di Cagliari,Parks and Gardens,"Historic garden featuring trees & plants including tropical, succulent & Mediterranean varieties.","{'Monday': 'Closed', 'Tuesday': '9AM-4PM', 'Wednesday': '9AM-4PM', 'Thursday': '9AM-4PM', 'Friday': '9AM-4PM', 'Saturday': '9AM-4PM', 'Sunday': '9AM-4PM'}",https://www.facebook.com/ortobotanicocagliari/,3.90707E+11,"39.25056129575268, 9.113535116640923","Via Sant'Ignazio da Laconi, 11, 09123 Cagliari CA",TRUE,TRUE,FALSE,Orto Botanico di Cagliari.jpg,park.png,90,3
9,Chiesa di San Michele,Churches and Places of Worship,"Church of Saint Michele St. Michele's church was built over St. Michele's and St. Egidio's oratory, at the end of 17th century, as headquarters of the Jesuit order. It is located next to the ancient ""House of the Novitiate"", where today there is the Military Hospital, and both share the same entrance.","{'Monday': '-', 'Tuesday': '-', 'Wednesday': '-', 'Thursday': '-', 'Friday': '-', 'Saturday': '-', 'Sunday': '-'}",https://sanmichelecagliari-gesuiti.it/,39070658626,"39.22211916150161, 9.116275325098108","Via Ospedale, 2, 09123 Cagliari CA",FALSE,TRUE,FALSE,Chiesa di San Michele.jpg,church_0.png,30,2
10,Torre dell'Elefante,Historical Sites and Monuments,"Imposing, 14th-century limestone tower adorned with a sculpted elephant, offering views of the city.","{'Monday': '10AM-1PM 3-7PM', 'Tuesday': '10AM-1PM 3-7PM', 'Wednesday': '10AM-1PM 3-7PM', 'Thursday': '10AM-1PM 3-7PM', 'Friday': '10AM-1PM 3-7PM', 'Saturday': '10AM-1PM 3-7PM', 'Sunday': '10AM-1PM 3-7PM'}",https://cagliariturismo.comune.cagliari.it/,3.90707E+11,"39.218512370908826, 9.116973530350217","Scalette Santa Croce, 2, 09124 Cagliari CA",FALSE,FALSE,FALSE,Torre dell'Elefante.jpg,tower.png,60,3
11,Tower of San Pancrazio,Historical Sites and Monuments,"The St.Pancras Tower is one of the most recognisable figures in Cagliari's landscape. Restored to its original appearance, it is now open to visitors with access from the adjacent Palazzo delle Seziate.","{'Monday': 'Closed', 'Tuesday': 'Closed', 'Wednesday': 'Closed', 'Thursday': 'Closed', 'Friday': 'Closed', 'Saturday': '   Closed', 'Sunday': 'Closed'}",http://www.beniculturalicagliari.it/#gallery/3,3.93663E+11,"39.2219589494222, 9.119841506494224","Piazza dell' Indipendenza, 09124 Cagliari CA",FALSE,FALSE,FALSE,Tower of San Pancrazio.png,tower.png,60,2
12,Cittadella dei Musei,Museums and Art Galleries,"The greatest art, history and culture complex in the capital and in the whole of Sardinia, allowing you to move between Eastern art, archaeological artefacts and paintings.","{'Monday': '8AM-8PM', 'Tuesday': '8AM-8PM', 'Wednesday': '8AM-8PM', 'Thursday': '8AM-8PM', 'Friday': '8AM-8PM', 'Saturday': '8AM-8PM', 'Sunday': '8AM-8PM'}",-,-,"39.22259870531283, 9.118296876941598","Piazza Arsenale, 1, 09123 Cagliari CA",TRUE,TRUE,FALSE,Cittadella dei Musei.jpg,museum_1.png,90,2
13,Galleria Comunale d'Arte,Museums and Art Galleries,"Housed in a neoclassical villa in the Giardini Pubblici (Public Gardens) north of the Castello, this terrific gallery focuses on modern and contemporary art. Works by many of Sardinia's top artists are on show, alongside paintings and sculptures from the Collezione Ingrao","{'Monday': 'Closed', 'Tuesday': '10AM-6PM', 'Wednesday': '10AM-6PM', 'Thursday': '10AM-6PM', 'Friday': '10AM-6PM', 'Saturday': '10AM-6PM', 'Sunday': '10AM-6PM'}",http://sistemamuseale.museicivicicagliari.it/,3.90707E+11,"39.2266629392804, 9.116139732050117","Viale S. Vincenzo, 2, 09123 Cagliari CA",TRUE,TRUE,FALSE,Galleria Comunale d'Arte.jpg,gallery.png,60,2
14,Museo delle Cere Anatomiche,Museums and Art Galleries,Contemporary space featuring a collection of wax figures to teach visitors about the human body.,"{'Monday': '9AM-1PM 4:30-7PM', 'Tuesday': 'Closed', 'Wednesday': '9AM-1PM 4:30-7PM', 'Thursday': '9AM-1PM 4:30-7PM', 'Friday': '9AM-1PM 4:30-7PM', 'Saturday': '9AM-1PM 4:30-7PM', 'Sunday': '9AM-1PM 4:30-7PM'}",http://pacs.unica.it/cere/,3.90707E+11,"39.722920046682596, 12.340824027269852","Piazza Arsenale, 1, 09123 Cagliari CA",TRUE,TRUE,FALSE,Museo Delle Cere Anatomiche.jpg,museum_1.png,60,2
15,Parco Terramaini,Parks and Gardens,"Terramaini Park is a green space that spreads over 8 hectares in the northern part of the city. It is a great place for walking and jogging, or to do some exercise between the mediterranean scrub and the flamingo's pond, that is home of other species such as the herring gulls.","{'Monday': '6:30AM-10PM', 'Tuesday': '6:30AM-10PM', 'Wednesday': '6:30AM-10PM', 'Thursday': '6:30AM-10PM', 'Friday': '6:30AM-10PM', 'Saturday': '6:30AM-10PM', 'Sunday': '6:30AM-10PM'}",-,390706771,"39.2473960474549, 9.14455475879605","Via Andrea Vesalio, 09121 Cagliari CA",TRUE,TRUE,TRUE,Parco Terramaini.jpg,park.png,90,2
16,MUTSEU - Museo del Tesoro e Area Archeologica di Sant'Eulalia,Museums and Art Galleries,"The Sant'Eulalia (Mutseu) museum consists of a journey stretching over 2,000 years through the history of Cagliari, especially in the ancient nucleus built near the port, which includes countless monuments","{'Monday': '9:30AM-1PM 4-7PM', 'Tuesday': '9:30AM-1PM 4-7PM', 'Wednesday': '9:30AM-1PM 4-7PM', 'Thursday': '9:30AM-1PM 4-7PM', 'Friday': '9:30AM-1PM 4-7PM', 'Saturday': '9:30AM-1PM 4-7PM', 'Sunday': '9:30AM-1PM 4:30-7PM'}",http://www.mutseu.org/,3.9334E+11,"39.215168397840806, 9.117223060465456","Vicolo Collegio, 2, 09124 Cagliari CA",TRUE,TRUE,FALSE,MUTSEU - Museo del Tesoro e Area Archeologica di Sant'Eulalia.jpg,museum_1.png,60,1
17,Monte Claro Park,Parks and Gardens,"Natural area with walking/jogging paths, 2 dog parks, a pond & abundant wildlife viewing.","{'Monday': '6AM-10PM', 'Tuesday': '6AM-10PM', 'Wednesday': '7AM-10PM', 'Thursday': '6AM-10PM', 'Friday': '6AM-10PM', 'Saturday': '6AM-10PM', 'Sunday': '6AM-10PM'}",-,-,"39.23499047546981, 9.119446613327895","Via Cadello, Via Mattei, Cagliari, IT 09100",TRUE,TRUE,TRUE,Monte Claro Park.jpg,park.png,90,3
18,Chiesa di Sant'Efisio a Giorgino,Churches and Places of Worship,"Church of Saint Efisio (Giorgino) The church was built in the XVII century, on the premises close to the main house of Ballero family , forming a single complex. It has an octagonal dome finely decorated , and a simple fa?ade with a belfry in which is located the bell, date back to 1679.","{'Monday': '9:30AM-1PM ', 'Tuesday': '9:30AM-1PM', 'Wednesday': '9:30AM-1PM ', 'Thursday': '9:30AM-1PM ', 'Friday': '9:30AM-1PM ', 'Saturday': '9:30AM-1PM ', 'Sunday': '9:30AM-1PM '}",http://www.cagliariturismo.it/it/luoghi/i-luoghi-della-fede-313/chiese-13/chiesa-di-sant-efisio-giorgino-123,39070657716,"39.20921517493441, 9.09560423551266","Viale Pula, 116, 09123 Cagliari CA",FALSE,TRUE,FALSE,Chiesa di Sant'Efisio a Giorgino.jpg,church_2.png,30,1
19,Cripta di Santa Restituta,Historical Sites and Monuments,"The crypt of Santa Restituta, one of the symbols of the picturesque neighbourhood of Stampace, has had a turbulent history, marked by periods of abandonment and with a happy ending in the restoration during the 1970s.","{'Monday': '10AM-5PM', 'Tuesday': '10AM-5PM', 'Wednesday': '10AM-5PM', 'Thursday': '10AM-1PM 3-7PM', 'Friday': '10AM-1PM 3-7PM', 'Saturday': '10AM-5PM', 'Sunday': '10AM-5PM'}",http://www.cagliariturismo.it/it/luoghi/i-luoghi-della-fede-313/cripte-160/cripta-di-santa-restituta-55,3.90707E+11,"39.21956071048777, 9.116463643998408","Via Sant'Efisio, 8, 09124 Cagliari CA",FALSE,FALSE,FALSE,Cripta di Santa Restituta.jpg,church_2.png,30,2
20,Marina Portus Karalis,Historical Sites and Monuments,Portus Karalis Marina is located in the Port of Cagliari in the heart of the city. A strategic position along the Mediterranean routes to the French Riviera and the Spanish coastmakes it an ideal stopping place. The only marina in southern Sardinia that can host yachts up to 90 m long and longer,"{'Monday': 'Open 24 hours', 'Tuesday': 'Open 24 hours', 'Wednesday': 'Open 24 hours', 'Thursday': 'Open 24 hours', 'Friday': 'Open 24 hours', 'Saturday': 'Open 24 hours', 'Sunday': 'Open 24 hours'}",http://www.portuskaralis.com/,39070653535,"39.2125866754158, 9.115692899663214","Molo Dogana, 09125 Cagliari CA",FALSE,TRUE,FALSE,Marina Portus Karalis.jpg,dock.png,60,3
21,Palazzo Regio,Historical Sites and Monuments,"Opulent palace & former royal residence, now hosting exhibitions, concerts & public visits.","{'Monday': 'Closed', 'Tuesday': '10AM-6:30PM', 'Wednesday': '10AM-6:30PM', 'Thursday': '10AM-6:30PM', 'Friday': '10AM-6:30PM', 'Saturday': '10AM-6:30PM', 'Sunday': '10AM-6:30PM'}",-,3.90704E+11,"39.22951200211212, 9.165972256766226","Piazza Palazzo, 1, 09124 Cagliari CA",FALSE,TRUE,FALSE,Palazzo Regio.jpg,buildings.png,30,3
22,Castello di San Michele Cagliari,Historical Sites and Monuments,"Built in the 12th century, this fortified castle now houses the City Center of Art & Culture.","{'Monday': 'Closed', 'Tuesday': '10AM-8PM', 'Wednesday': '10AM-8PM', 'Thursday': '10AM-8PM', 'Friday': '10AM-8PM', 'Saturday': '10AM-8PM', 'Sunday': '10AM-8PM'}",https://castellodisanmichelecagliari.it/,3.90702E+12,"39.24562574575924, 9.111705715029386","Via Giovanni Cinquini, 09121 Cagliari CA",FALSE,TRUE,FALSE,Castello di San Michele Cagliari.jpg,castle.png,90,1
23,Giardini Pubblici,Parks and Gardens,"Tranquil park, developed in the 19th century, known for its French-style gardens & sculptures.","{'Monday': '6AM-12AM', 'Tuesday': '6AM-12AM', 'Wednesday': '6AM-12AM', 'Thursday': '6AM-12AM', 'Friday': '6AM-12AM', 'Saturday': '6AM-12AM', 'Sunday': '6AM-12AM'}",http://www.comune.cagliari.it/portale/,-,"39.22550889546922, 9.119019522402542","Largo Giuseppe Dessa, 09123 Cagliari CA",TRUE,TRUE,TRUE,Giardini Pubblici.jpg,park.png,30,3
24,Monumental Cemetery of Bonaria,Historical Sites and Monuments,"Tombs & charnel houses on a cave-pitted limestone hill, with mausoleum paintings by Filippo Figari.","{'Monday': 'Closed', 'Tuesday': '8AM-1PM', 'Wednesday': '8AM-1PM', 'Thursday': '8AM-1PM 2:30-6:30PM', 'Friday': '8AM-1PM', 'Saturday': '8AM-1PM', 'Sunday': '8AM-1PM'}",https://www.cimiterobonaria.it/cimitero-di-bonaria/,-,"39.21175952529355, 9.121140311567737","Viale Cimitero, 09100 Cagliari CA",FALSE,TRUE,FALSE,Monumental Cemetery of Bonaria.jpg,mausoleum.png,30,2
25,Porticciolo Turistico Marina Piccola,Historical Sites and Monuments,This marina can be found on the eastern side of the Capri Island and it is a part of the province of Cagliari and the historic region of Sardinia.,"{'Monday': 'Open 24 hours', 'Tuesday': 'Open 24 hours', 'Wednesday': 'Open 24 hours', 'Thursday': 'Open 24 hours', 'Friday': 'Open 24 hours', 'Saturday': 'Open 24 hours', 'Sunday': 'Open 24 hours'}",http://www.motomarsarda.com/,3.90706E+11,"39.19294991931861, 9.160612787694669","Porticciolo di Marina Piccola, 09126 Cagliari CA",FALSE,TRUE,FALSE,Porticciolo Turistico Marina Piccola.jpg,dock.png,60,3
26,Chiesa di Santo Sepolcro,Churches and Places of Worship,"The church of San Sepolcro, in the heart of the district of Marina di Cagliari, has an ancient and fascinating history, which probably began in the 14th century and is linked, according to some scholars, to the figures of the Knights Templar","{'Monday': '-', 'Tuesday': '-', 'Wednesday': '-', 'Thursday': '-', 'Friday': '-', 'Saturday': '-', 'Sunday': '-'}",-,-,"39.21659553577385, 9.11807010536089","Piazza S. Sepolcro, 5, 09124 Cagliari CA",FALSE,FALSE,FALSE,Chiesa di Santo Sepolcro.jpg,church_1.png,30,2
27,Orto dei Cappuccini,Parks and Gardens,"The Botanical Gardens are shaped like a trapezoid and cover an area of about five hectares at the lower end of the Palabenda valley, in an area that includes the Anfiteatro romano, Orto dei cappuccini vegetable garden and villa di Tigellio","{'Monday': '-', 'Tuesday': '-', 'Wednesday': '-', 'Thursday': '-', 'Friday': '-', 'Saturday': '-', 'Sunday': '-'}",-,-,"39.225581085234985, 9.111317182613808","Vico I' Luigi Merello, 09123 Cagliari CA",FALSE,TRUE,TRUE,Orto dei Cappuccini.jpg,park.png,60,2
28,Teatro Lirico di Cagliari,Museums and Art Galleries,"Cagliari Teatro Lirico, seat of the Foundation of the same name, features concert, opera and ballet seasons all year long. On its stage, together with the Teatro Lirico Orchestra and Chorus, protagonists of many prestigious productions","{'Monday': '-', 'Tuesday': '-', 'Wednesday': '-', 'Thursday': '-', 'Friday': '-', 'Saturday': '-', 'Sunday': '-'}",http://www.teatroliricodicagliari.it/,3.90704E+11,"39.226695138975245, 9.123336763297106","Via Sant'Alenixedda, 09128 Cagliari CA",TRUE,TRUE,FALSE,Teatro Lirico di Cagliari.jpg,theater.png,60,2
29,Necropoli di Tuvixeddu,Historical Sites and Monuments,Archaeological area at a large hillside necropolis featuring Carthaginian & Roman burial chambers.,"{'Monday': '8:30AM-11:30PM', 'Tuesday': '8:30AM-11:30PM', 'Wednesday': '8:30AM-11:30PM', 'Thursday': '8:30AM-11:30PM', 'Friday': '8:30AM-11:30PM', 'Saturday': '8:30AM-11:30PM', 'Sunday': '8:30AM-11:30PM'}",-,-,"39.22957135504599, 9.099293611016604","Via Falzarego, 09123 Cagliari CA",FALSE,TRUE,TRUE,Necropoli di Tuvixeddu.jpg,historical.png,60,3
30,Antico Palazzo di Citta?,Historical Sites and Monuments,Restored historic palace-turned-museum featuring temporary exhibitions of contemporary artwork.,"{'Monday': 'Closed', 'Tuesday': '10AM-6PM', 'Wednesday': '10AM-6PM', 'Thursday': '10AM-6PM', 'Friday': '10AM-6PM', 'Saturday': '10AM-6PM', 'Sunday': '10AM-6PM'}",https://sistemamuseale.museicivicicagliari.it/palazzo-di-citta/,3.90707E+11,"39.21921720734821, 9.120258647781057","Piazza Palazzo, 6, 09124 Cagliari CA",FALSE,FALSE,FALSE,Antico Palazzo di Città.jpg,buildings.png,30,1
31,Palazzo Civico di Cagliari,Historical Sites and Monuments,"Cagliari's Palazzo Civico, or City Hall, rises above the harbour like a bastion of white stone, elegant in shape and colours, perfectly in tune with the other old buildings that line Via Roma. City Hall was originally located at Piazza Palazzo in the Castello quarter,","{'Monday': '-', 'Tuesday': '-', 'Wednesday': '-', 'Thursday': '-', 'Friday': '-', 'Saturday': '-', 'Sunday': '-'}",-,3.90707E+11,"39.2154492173327, 9.111404327064871","Via Roma, 145, 09124 Cagliari CA",FALSE,TRUE,FALSE,Palazzo Civico di Cagliari.jpg,buildings.png,30,1
32,Chiesa Collegiata di Sant'Anna,Churches and Places of Worship,"Largely destroyed by bombing in 1943 but painstakingly rebuilt afterwards, Chiesa di Sant'Anna rises grandly above a wide staircase in the Stampace district. More impressive outside than in, it's fronted by a towering two-tier baroque facade topped by a pair of matching bell towers.","{'Monday': '8AM-12PM', 'Tuesday': '8AM-12PM', 'Wednesday': '8AM-12PM', 'Thursday': '8AM-12PM', 'Friday': '8AM-12PM', 'Saturday': '8AM-12PM', 'Sunday': '8AM-12PM'}",https://m.facebook.com/santannacagliari/,-,"39.218958677798774, 9.116028713880345","Via Domenico Alberto Azuni, 09124 Cagliari CA",FALSE,TRUE,FALSE,Chiesa Collegiata di Sant'Anna.jpg,church_1.png,30,1
33,Teatro Massimo,Museums and Art Galleries,"The Teatro Massimo is a historic opera house in Cagliari, Sardinia. It hosts a variety of events, such as operas, ballets, concerts and web TV shows. See the schedule and book tickets online.","{'Monday': '-', 'Tuesday': '-', 'Wednesday': '-', 'Thursday': '-', 'Friday': '-', 'Saturday': '-', 'Sunday': '-'}",https://teatromassimocagliari.it/,3.90703E+11,"39.22285759440641, 9.106397354053097","Via E. De Magistris, 12, 09123 Cagliari CA",TRUE,TRUE,FALSE,Teatro Massimo.jpg,theater.png,60,2
34,Basilica di San Saturnino,Historical Sites and Monuments,"Paleo-Christian church dating to the 5th century, featuring a lofty, towering domed roof & apse.","{'Monday': 'Closed', 'Tuesday': '9AM-4PM', 'Wednesday': '9AM-4PM', 'Thursday': '9AM-4PM', 'Friday': '9AM-4PM', 'Saturday': '9AM-4PM', 'Sunday': 'Closed'}",https://musei.sardegna.beniculturali.it/musei/basilica-di-san-saturnino/,39070659869,"39.21476842689291, 9.123802011082446","Piazza S. Cosimo, 09127 Cagliari CA",FALSE,TRUE,FALSE,Basilica di San Saturnino.jpg,church_1.png,30,2
35,Parco delle Rimembranze,Parks and Gardens,The park is dedicated to the fallen of the First World War and was created in the wake of the avenues of Remembrance that arose in Italy starting from 1923. It was built in 1935 based on a design by the assistant architect Ubaldo Badas. The monument is of sober taste and consists of two bundles of trachyte and Serrenti stone on which the dates of the most important battles of the great war are shown. Between the two beams is the exedra on whose structure the names of the fallen are written.,"{'Monday': 'Open 24 hours', 'Tuesday': 'Open 24 hours', 'Wednesday': 'Open 24 hours', 'Thursday': 'Open 24 hours', 'Friday': 'Open 24 hours', 'Saturday': 'Open 24 hours', 'Sunday': 'Open 24 hours'}",-,-,"39.21489869817309, 9.121559849064488","Via Sidney Sonnino, 09127 Cagliari CA",FALSE,TRUE,TRUE,Parco delle Rimembranze.jpg,trees_1.png,30,1
36,Faro di Capo Sant'Elia,Historical Sites and Monuments,"Capo Sant'Elia Lighthouse is an active lighthouse located on Capo Sant'Elia promontory, adjacent to Calamosca Bay which separates the Golfo degli Angeli from that of Quartu Sant'Elena. ","{'Monday': 'Open 24 hours', 'Tuesday': 'Open 24 hours', 'Wednesday': 'Open 24 hours', 'Thursday': 'Open 24 hours', 'Friday': 'Open 24 hours', 'Saturday': 'Open 24 hours', 'Sunday': 'Open 24 hours'}",-,-,"39.18449762858941, 9.147377471137098","Viale Calamosca, 09126 Cagliari CA",FALSE,FALSE,FALSE,Faro di Capo Sant'Elia.jpg,lighthouse.png,30,2
37,Parco della Musica,Parks and Gardens,"The Music Park is a multifunctional complex in Cagliari created to host various types of musical and cultural events; it was inaugurated on 7 May 2011, on the occasion of the Open Monuments event, with the opening of the open spaces, including Piazza Amedeo Nazzari, while the total opening of the new theater spaces will also take place in the summer of 2011.","{'Monday': '5:30AM-12AM', 'Tuesday': '5:30AM-12AM', 'Wednesday': '5:30AM-12AM', 'Thursday': '5:30AM-12AM', 'Friday': '5:30AM-12AM', 'Saturday': '5:30AM-12AM', 'Sunday': '5:30AM-12AM'}",https://www.comune.cagliari.it/portale/,39070651320,"39.22763502044911, 9.12360571343444","Via dei Giudicati, 16, 09131 Cagliari CA",TRUE,TRUE,TRUE,Parco della Musica.jpg,park.png,30,2
38,Galleria Rifugio Don Bosco,Historical Sites and Monuments,"Air-Raid Refuge Don Bosco The gallery refuge extends for about 180 meters along a parallel and equidistant axis from Viale Merello to Viale Fra Ignazio. It was part of a series of underground routes still existing, made in 1700 by the Piedmontese outside the walls for military purposes.","{'Monday': '-', 'Tuesday': '-', 'Wednesday': '-', 'Thursday': '-', 'Friday': '-', 'Saturday': '-', 'Sunday': '-'}",-,39070658653,"39.22287097550305, 9.109094400001453","Via Don Bosco, 09123 Cagliari CA",FALSE,FALSE,FALSE,Galleria Rifugio Don Bosco.jpg,tunnel.png,60,2
